Description,Value
Visibility Type,Discrete (Binary Frame Counting)
Max. visibility count,1752
Total simulation steps,2700
Step Size,0.1
LoV scale,0 - 10.0
Max. LoV value,6.488888888888889
Mean LoV value,2.188787047974605
Cells with observations,15238
Cells without observations,22956
