# -----------------------------------------
# Units explanation:
# -----------------------------------------
# time_step: Simulation time step
# phase_duration: Duration of current traffic light phase (seconds)
# remaining_duration: Time until next phase change (seconds)
# signal_states: Current state of all signals (g=green, y=yellow, r=red, G=priority green)
# total_queue_length: Number of stopped vehicles at intersection (vehicles)
# vehicles_stopped: Number of unique vehicles stopped at intersection (vehicles)
# average_waiting_time: Average time vehicles have been waiting (seconds)
# vehicles_by_type: Dictionary of vehicle counts by vehicle type
# lane_to_signal_mapping: Dictionary mapping lanes to their controlling signals
# -----------------------------------------

time_step,traffic_light_id,program,phase,phase_duration,remaining_duration,signal_states,total_queue_length,vehicles_stopped,average_waiting_time,vehicles_by_type,lane_to_signal_mapping
31,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,1.7999999999999998,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
32,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,1.7000000000000002,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
33,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,1.6,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
34,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,1.5,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
35,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,1.4,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
36,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,1.2999999999999998,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
37,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,1.2000000000000002,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
38,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,1.1,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
39,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,1.0,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
40,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,0.9000000000000004,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
41,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,0.7999999999999998,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
42,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,0.7000000000000002,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
43,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,0.5999999999999996,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
44,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,0.5,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
45,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,0.40000000000000036,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
46,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,0.2999999999999998,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
47,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,0.20000000000000018,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
48,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,0.09999999999999964,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
49,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,0,37.0,0.0,ggggggGGggrrrrrrrrGggGggrGrGrr,0,0,0.0,{'floating_car_observer': 1},
50,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,4.9,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,{'floating_car_observer': 1},
51,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,4.8,ggggggGGggrrrrrrrrGggGggrrrrrr,1,1,0.0,{'floating_car_observer': 2},
52,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,4.7,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,{'floating_car_observer': 2},
53,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,4.6,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,{'floating_car_observer': 2},
54,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,4.5,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,{'floating_car_observer': 2},
55,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,4.4,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,{'floating_car_observer': 2},
56,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,4.3,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,{'floating_car_observer': 2},
57,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,4.2,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,{'floating_car_observer': 2},
58,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,4.1,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,{'floating_car_observer': 2},
59,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,4.0,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,{'floating_car_observer': 2},
60,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,3.9000000000000004,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,{'floating_car_observer': 2},
61,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,3.8,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,{'floating_car_observer': 2},
62,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,3.7,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,{'floating_car_observer': 2},
63,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,3.5999999999999996,ggggggGGggrrrrrrrrGggGggrrrrrr,1,1,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
64,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,3.5,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
65,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,3.4000000000000004,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
66,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,3.3,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
67,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,3.2,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
68,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,3.0999999999999996,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
69,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,3.0,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
70,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,2.9000000000000004,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
71,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,2.8,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
72,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,2.7,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
73,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,2.5999999999999996,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
74,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,2.5,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
75,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,2.4000000000000004,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
76,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,2.3,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
77,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,1,5.0,2.2,ggggggGGggrrrrrrrrGggGggrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_VEHTYPE': 1}",
