analysis_level,identifier,flow_id,num_bicycles,temporal_rate,spatial_rate,spatiotemporal_rate,total_time_steps,detected_steps,total_distance,detected_distance
individual,vehicle_1,default_flow,1.0,22.727272727272727,23.7367626219664,23.232017674619563,484,110,264.03496729186645,62.67335342505696
flow,default_flow,default_flow,1.0,22.727272727272727,23.7367626219664,23.232017674619563,484,110,264.03496729186645,62.67335342505696
system_wide_individual_avg,system_average,all_flows,1.0,22.727272727272727,23.7367626219664,23.232017674619563,484,110,264.03496729186645,62.67335342505696
system_wide_flow_avg,flow_average,all_flows,1.0,22.727272727272727,23.7367626219664,23.232017674619563,484,110,264.03496729186645,62.67335342505696
system_wide_cumulative,cumulative_total,all_flows,1.0,22.727272727272727,23.7367626219664,23.232017674619563,484,110,264.03496729186645,62.67335342505696
