# =========================================
# Summary of Simulation Results (Bicycle Trajectories)
# Generated on: 2025-08-31 16:14:04
# Step length: 0.1 seconds
# =========================================
#
# -----------------------------------------
# Units explanation:
# -----------------------------------------
# time_step: current simulation time step
# x_coord, y_coord: UTM coordinates in meters (EPSG:32632)
# speed: meters per second (m/s)
# angle: degrees (0-360, clockwise from north)
# acceleration: meters per second squared (m/s^2)
# lateral_speed: meters per  second (m/s)
# slope: road gradient in degrees
# distance: cumulative distance traveled in meters
# lane_position: ...
# is_detected: if bicycle is detected by any observer (0: no, 1: yes)
# detecting_observers: list of observer IDs that detected the bicycle
# in_test_area: if bicycle is in test area (0: no, 1: yes)
# next_tl_id: ID of the next traffic light on the route
# next_tl_distance: distance to the next traffic light in meters
# next_tl_state: current state of the relevant signal (r/y/g/G)
# next_tl_index: index of the relevant signal within the traffic light
# -----------------------------------------

time_step,vehicle_id,vehicle_type,x_coord,y_coord,speed,angle,acceleration,lateral_speed,slope,distance,route_id,lane_id,edge_id,lane_position,lane_index,is_detected,detecting_observers,in_test_area,next_tl_id,next_tl_distance,next_tl_state,next_tl_index
13,vehicle_1,DEFAULT_BIKETYPE,691059.4471135748,5336016.19926449,1.3841791562654735,21.353532898485593,1.1200771768111717,0.0,0.0,0.9832119236565546,!vehicle_1!var#1,51476080#4_1,51476080#4,2.683211923656555,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,110.00678807634344,g,20
14,vehicle_1,DEFAULT_BIKETYPE,691059.5014407323,5336016.3382226825,1.4918560138542862,21.353532898485593,1.0767685758881274,0.0,0.0,1.1323975250419833,!vehicle_1!var#1,51476080#4_1,51476080#4,2.8323975250419835,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,109.85760247495801,g,20
15,vehicle_1,DEFAULT_BIKETYPE,691059.5589979128,5336016.4854426375,1.580554369223556,21.353532898485593,0.8869835536926973,0.0,0.0,1.290452961964339,!vehicle_1!var#1,51476080#4_1,51476080#4,2.990452961964339,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,109.69954703803566,g,20
16,vehicle_1,DEFAULT_BIKETYPE,691059.6196326525,5336016.640534384,1.665065974072805,21.353532898485593,0.8451160484924913,0.0,0.0,1.4569595593716196,!vehicle_1!var#1,51476080#4_1,51476080#4,3.1569595593716198,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,109.53304044062838,g,20
17,vehicle_1,DEFAULT_BIKETYPE,691059.683061808,5336016.802773699,1.7418022891844347,21.353532898485593,0.7673631511162959,0.0,0.0,1.6311397882900631,!vehicle_1!var#1,51476080#4_1,51476080#4,3.3311397882900633,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,109.35886021170994,g,20
18,vehicle_1,DEFAULT_BIKETYPE,691059.7494109557,5336016.97248178,1.821987014437346,21.353532898481802,0.8018472525291132,0.0,0.0,1.8133384897337979,!vehicle_1!var#1,51476080#4_1,51476080#4,3.513338489733798,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,109.1766615102662,g,20
19,vehicle_1,DEFAULT_BIKETYPE,691059.8196716224,5336017.152194755,1.9293996408267602,21.35353289847884,1.0741262638941418,0.0,0.0,2.0062784538164737,!vehicle_1!var#1,51476080#4_1,51476080#4,3.706278453816474,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,108.98372154618352,g,20
20,vehicle_1,DEFAULT_BIKETYPE,691059.8931134657,5336017.340044558,2.0167566537542925,21.353532898485593,0.8735701292753228,0.0,0.0,2.207954119191903,!vehicle_1!var#1,51476080#4_1,51476080#4,3.907954119191903,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,108.7820458808081,g,20
21,vehicle_1,DEFAULT_BIKETYPE,691059.9701667901,5336017.537131818,2.115930060768752,21.353532898485593,0.9917340701445942,0.0,0.0,2.419547125268778,!vehicle_1!var#1,51476080#4_1,51476080#4,4.119547125268778,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,108.57045287473122,g,20
22,vehicle_1,DEFAULT_BIKETYPE,691060.050927852,5336017.743702741,2.2177467357192846,21.353532898481802,1.018166749505327,0.0,0.0,2.641321798840707,!vehicle_1!var#1,51476080#4_1,51476080#4,4.341321798840707,1,0,-,0,cluster_10824610463_1578496208_2155840709_8748689416__4more,108.34867820115929,g,20
