Description,Value
Visibility Type,Discrete (Binary Frame Counting)
Max. visibility count,1799
Total simulation steps,2700
Step Size,0.1
LoV scale,0 - 10.0
Max. LoV value,6.662962962962963
Mean LoV value,4.455597552064748
Cells with observations,15257
Cells without observations,22937
